日期,收市,開市,高,低,成交量,更改%
2019年3月29日,"29,077.00","28,797.00","29,181.00","28,735.00",198.93K,1.25%
2019年3月28日,"28,719.00","28,689.00","28,745.00","28,532.00",38.96K,0.12%
2019年3月27日,"28,685.00","28,543.00","28,789.00","28,531.00",209.00K,0.51%
2019年3月26日,"28,540.00","28,539.00","28,755.00","28,410.00",264.19K,0.07%
2019年3月25日,"28,519.00","29,065.00","29,065.00","28,422.00",260.41K,-1.95%
2019年3月22日,"29,085.00","29,100.00","29,270.00","28,838.00",248.19K,-0.11%
2019年3月21日,"29,117.00","29,339.00","29,477.00","29,071.00",234.00K,-0.71%
2019年3月20日,"29,326.00","29,500.00","29,630.00","29,261.00",219.38K,-0.57%
2019年3月19日,"29,494.00","29,381.00","29,541.00","29,335.00",208.92K,0.37%
2019年3月18日,"29,385.00","29,050.00","29,444.00","29,039.00",220.22K,1.17%
2019年3月15日,"29,046.00","28,900.00","29,250.00","28,756.00",226.88K,0.51%
2019年3月14日,"28,898.00","28,828.00","28,997.00","28,675.00",215.00K,0.28%
2019年3月13日,"28,817.00","28,918.00","28,966.00","28,710.00",218.91K,-0.30%
2019年3月12日,"28,905.00","28,480.00","28,990.00","28,445.00",201.20K,1.47%
2019年3月11日,"28,485.00","28,240.00","28,530.00","28,016.00",216.83K,0.88%
2019年3月8日,"28,236.00","28,745.00","28,782.00","28,176.00",245.41K,-1.70%
2019年3月7日,"28,723.00","29,030.00","29,093.00","28,723.00",224.13K,-1.05%
2019年3月6日,"29,029.00","28,897.00","29,086.00","28,846.00",204.77K,0.48%
2019年3月5日,"28,890.00","28,880.00","28,989.00","28,617.00",244.48K,0.02%
2019年3月4日,"28,885.00","28,740.00","29,255.00","28,642.00",230.36K,0.54%
2019年3月1日,"28,730.00","28,684.00","28,840.00","28,580.00",194.90K,0.22%
2019年2月28日,"28,666.00","28,732.00","28,913.00","28,563.00",217.50K,-0.69%
2019年2月27日,"28,864.00","28,728.00","28,959.00","28,685.00",33.77K,0.48%
2019年2月26日,"28,727.00","28,912.00","29,114.00","28,702.00",226.03K,-0.56%
2019年2月25日,"28,890.00","28,866.00","29,018.00","28,740.00",291.72K,0.29%
2019年2月22日,"28,806.00","28,653.00","28,864.00","28,417.00",243.02K,0.53%
2019年2月21日,"28,655.00","28,515.00","28,799.00","28,363.00",229.60K,0.51%
2019年2月20日,"28,510.00","28,145.00","28,573.00","28,038.00",194.99K,1.26%
2019年2月19日,"28,155.00","28,323.00","28,448.00","28,128.00",171.90K,-0.63%
2019年2月18日,"28,334.00","27,880.00","28,384.00","27,879.00",161.27K,1.68%
2019年2月15日,"27,867.00","28,329.00","28,397.00","27,781.00",198.44K,-1.67%
2019年2月14日,"28,339.00","28,393.00","28,498.00","28,218.00",181.17K,-0.21%
2019年2月13日,"28,400.00","28,117.00","28,509.00","28,102.00",180.50K,0.98%
2019年2月12日,"28,123.00","28,144.00","28,220.00","27,916.00",149.57K,-0.02%
2019年2月11日,"28,130.00","27,957.00","28,158.00","27,758.00",146.73K,0.64%
2019年2月8日,"27,951.00","27,662.00","27,960.00","27,450.00",110.64K,0.42%
2019年2月6日,"27,833.00","27,833.00","27,833.00","27,833.00",-,0.03%
2019年2月4日,"27,826.00","27,855.00","27,950.00","27,726.00",64.91K,-0.13%
2019年2月1日,"27,862.00","28,012.00","28,200.00","27,743.00",169.00K,-0.69%
2019年1月31日,"28,055.00","27,648.00","28,075.00","27,625.00",177.79K,1.83%
2019年1月30日,"27,552.00","27,567.00","27,666.00","27,375.00",31.02K,-0.05%
2019年1月29日,"27,566.00","27,557.00","27,620.00","27,325.00",186.76K,0.03%
2019年1月28日,"27,557.00","27,618.00","27,814.00","27,453.00",234.93K,-0.16%
2019年1月25日,"27,602.00","27,112.00","27,618.00","27,104.00",242.21K,1.87%
2019年1月24日,"27,096.00","27,018.00","27,164.00","26,872.00",195.64K,0.41%
2019年1月23日,"26,985.00","27,006.00","27,160.00","26,875.00",201.37K,-0.07%
2019年1月22日,"27,003.00","27,201.00","27,271.00","26,835.00",197.12K,-0.87%
2019年1月21日,"27,240.00","27,102.00","27,361.00","27,013.00",191.14K,0.52%
2019年1月18日,"27,100.00","26,785.00","27,144.00","26,764.00",187.74K,1.24%
2019年1月17日,"26,769.00","26,890.00","27,041.00","26,666.00",236.85K,-0.51%
2019年1月16日,"26,905.00","26,731.00","26,938.00","26,559.00",199.00K,0.57%
2019年1月15日,"26,752.00","26,302.00","26,874.00","26,254.00",222.86K,1.71%
2019年1月14日,"26,302.00","26,706.00","26,738.00","26,164.00",180.42K,-1.48%
2019年1月11日,"26,696.00","26,464.00","26,746.00","26,461.00",200.76K,0.85%
2019年1月10日,"26,470.00","26,518.00","26,636.00","26,228.00",232.70K,-0.17%
2019年1月9日,"26,515.00","25,917.00","26,652.00","25,915.00",229.68K,2.36%
2019年1月8日,"25,903.00","25,835.00","26,006.00","25,713.00",197.70K,0.15%
2019年1月7日,"25,865.00","25,600.00","26,098.00","25,588.00",201.56K,1.03%
2019年1月4日,"25,601.00","25,055.00","25,659.00","24,893.00",241.65K,2.17%
2019年1月3日,"25,057.00","25,030.00","25,363.00","24,876.00",214.87K,0.33%
2019年1月2日,"24,975.00","25,856.00","25,868.00","24,975.00",192.59K,-3.40%
2018年12月31日,"25,854.00","25,588.00","26,000.00","25,545.00",95.33K,1.37%
2018年12月28日,"25,504.00","25,355.00","25,584.00","25,216.00",44.10K,0.43%
2018年12月27日,"25,394.00","25,880.00","25,940.00","25,322.00",152.99K,-0.91%
2018年12月24日,"25,626.00","25,645.00","25,806.00","25,400.00",158.49K,-0.12%
2018年12月21日,"25,657.00","25,569.00","25,793.00","25,307.00",265.91K,0.48%
2018年12月20日,"25,534.00","25,918.00","26,094.00","25,374.00",245.61K,-1.50%
2018年12月19日,"25,923.00","25,852.00","26,018.00","25,784.00",170.80K,0.40%
2018年12月18日,"25,820.00","26,098.00","26,193.00","25,700.00",235.51K,-0.99%
2018年12月17日,"26,077.00","26,028.00","26,231.00","25,920.00",174.64K,0.14%
2018年12月14日,"26,040.00","26,515.00","26,515.00","26,020.00",178.71K,-1.84%
2018年12月13日,"26,529.00","26,245.00","26,626.00","26,245.00",210.35K,1.11%
2018年12月12日,"26,238.00","25,714.00","26,275.00","25,710.00",206.95K,2.03%
2018年12月11日,"25,715.00","25,740.00","25,862.00","25,403.00",207.09K,0.04%
2018年12月10日,"25,704.00","26,096.00","26,369.00","25,551.00",206.14K,-1.42%
2018年12月7日,"26,075.00","26,130.00","26,308.00","25,814.00",206.33K,-0.32%
2018年12月6日,"26,160.00","26,790.00","26,905.00","26,006.00",234.13K,-2.26%
2018年12月5日,"26,765.00","27,266.00","27,296.00","26,724.00",198.79K,-1.86%
2018年12月4日,"27,271.00","27,278.00","27,329.00","27,041.00",229.93K,-0.05%
2018年12月3日,"27,284.00","26,525.00","27,326.00","26,435.00",230.27K,2.84%
2018年11月30日,"26,531.00","26,441.00","26,730.00","26,321.00",241.92K,-0.22%
2018年11月29日,"26,590.00","26,612.00","26,946.00","26,523.00",36.89K,-0.08%
2018年11月28日,"26,612.00","26,338.00","26,722.00","26,197.00",196.86K,1.36%
2018年11月27日,"26,256.00","26,404.00","26,512.00","26,138.00",270.86K,-0.55%
2018年11月26日,"26,402.00","25,876.00","26,427.00","25,772.00",260.68K,1.96%
2018年11月23日,"25,895.00","25,927.00","26,036.00","25,755.00",187.42K,-0.14%
2018年11月22日,"25,931.00","25,916.00","26,204.00","25,810.00",208.52K,0.11%
2018年11月21日,"25,903.00","25,775.00","25,976.00","25,414.00",278.77K,0.42%
2018年11月20日,"25,794.00","26,280.00","26,317.00","25,700.00",238.24K,-1.89%
2018年11月19日,"26,290.00","26,107.00","26,378.00","25,958.00",245.69K,0.67%
2018年11月16日,"26,115.00","26,034.00","26,193.00","25,785.00",269.55K,0.26%
2018年11月15日,"26,047.00","25,538.00","26,136.00","25,476.00",275.74K,1.93%
2018年11月14日,"25,554.00","25,807.00","25,993.00","25,430.00",256.31K,-1.10%
2018年11月13日,"25,837.00","25,546.00","25,859.00","25,006.00",304.80K,1.12%
2018年11月12日,"25,551.00","25,461.00","25,753.00","25,312.00",232.11K,0.35%
2018年11月9日,"25,462.00","26,204.00","26,229.00","25,407.00",234.98K,-2.91%
2018年11月8日,"26,224.00","26,164.00","26,614.00","26,104.00",234.77K,0.24%
2018年11月7日,"26,161.00","26,032.00","26,524.00","25,861.00",299.74K,0.48%
2018年11月6日,"26,036.00","25,886.00","26,166.00","25,799.00",238.35K,0.54%
2018年11月5日,"25,897.00","26,486.00","26,758.00","25,720.00",300.02K,-2.25%
2018年11月2日,"26,493.00","25,350.00","26,502.00","25,323.00",330.52K,4.54%
2018年11月1日,"25,342.00","24,919.00","25,516.00","24,858.00",262.46K,1.73%
2018年10月31日,"24,911.00","24,578.00","24,961.00","24,474.00",268.86K,0.76%
2018年10月30日,"24,722.00","24,771.00","25,041.00","24,572.00",54.55K,-0.17%
2018年10月29日,"24,765.00","24,634.00","24,997.00","24,457.00",275.22K,0.44%
2018年10月26日,"24,657.00","24,893.00","25,146.00","24,526.00",342.46K,-0.96%
2018年10月25日,"24,896.00","25,205.00","25,408.00","24,601.00",338.50K,-1.25%
2018年10月24日,"25,212.00","25,305.00","25,654.00","25,050.00",375.66K,-0.49%
2018年10月23日,"25,336.00","26,134.00","26,163.00","25,266.00",316.39K,-3.05%
2018年10月22日,"26,132.00","25,474.00","26,222.00","25,382.00",298.40K,2.65%
2018年10月19日,"25,457.00","25,402.00","25,723.00","25,046.00",312.86K,0.20%
2018年10月18日,"25,407.00","25,380.00","25,775.00","25,211.00",251.21K,0.08%
2018年10月16日,"25,387.00","25,340.00","25,680.00","25,208.00",258.27K,0.17%
2018年10月15日,"25,343.00","25,676.00","25,777.00","25,330.00",233.34K,-1.35%
2018年10月12日,"25,690.00","25,186.00","25,788.00","25,080.00",322.93K,2.00%
2018年10月11日,"25,187.00","26,173.00","26,256.00","25,123.00",309.25K,-3.74%
2018年10月10日,"26,165.00","26,061.00","26,470.00","25,947.00",264.34K,0.40%
2018年10月9日,"26,060.00","26,147.00","26,342.00","25,971.00",262.29K,-0.33%
2018年10月8日,"26,147.00","26,459.00","26,771.00","26,128.00",263.45K,-1.18%
2018年10月5日,"26,459.00","26,556.00","26,632.00","26,243.00",202.56K,-0.39%
2018年10月4日,"26,563.00","27,019.00","27,175.00","26,490.00",203.63K,-1.83%
2018年10月3日,"27,057.00","26,991.00","27,252.00","26,871.00",212.17K,0.23%
2018年10月2日,"26,994.00","27,874.00","27,874.00","26,991.00",222.33K,-3.17%
2018年9月28日,"27,877.00","27,707.00","27,935.00","27,649.00",221.52K,0.49%
2018年9月27日,"27,742.00","27,823.00","27,929.00","27,710.00",41.97K,-0.27%
2018年9月26日,"27,818.00","27,460.00","28,037.00","27,393.00",230.94K,1.29%
2018年9月24日,"27,465.00","27,945.00","27,945.00","27,388.00",192.25K,-1.70%
2018年9月21日,"27,940.00","27,456.00","27,982.00","27,456.00",282.99K,1.75%
2018年9月20日,"27,459.00","27,403.00","27,625.00","27,294.00",245.71K,0.18%
2018年9月19日,"27,411.00","27,051.00","27,494.00","27,017.00",240.23K,1.37%
2018年9月18日,"27,041.00","26,890.00","27,169.00","26,605.00",275.78K,0.56%
2018年9月17日,"26,891.00","27,265.00","27,282.00","26,711.00",225.06K,-1.34%
2018年9月14日,"27,255.00","26,983.00","27,345.00","26,959.00",254.68K,0.99%
2018年9月13日,"26,987.00","26,328.00","27,040.00","26,222.00",275.97K,2.45%
2018年9月12日,"26,341.00","26,286.00","26,436.00","26,020.00",272.07K,0.14%
2018年9月11日,"26,305.00","26,640.00","26,711.00","26,290.00",247.15K,-1.22%
2018年9月10日,"26,631.00","26,858.00","26,892.00","26,356.00",250.76K,-0.76%
2018年9月7日,"26,835.00","26,988.00","27,165.00","26,584.00",280.54K,-0.56%
2018年9月6日,"26,986.00","27,119.00","27,224.00","26,768.00",267.99K,-0.44%
2018年9月5日,"27,104.00","27,877.00","27,877.00","27,100.00",258.15K,-2.79%
2018年9月4日,"27,882.00","27,646.00","27,950.00","27,452.00",209.06K,0.86%
2018年9月3日,"27,645.00","27,747.00","27,860.00","27,516.00",182.63K,-0.43%
2018年8月31日,"27,765.00","28,063.00","28,069.00","27,634.00",193.67K,-1.68%
2018年8月30日,"28,239.00","28,341.00","28,574.00","28,227.00",28.13K,-0.37%
2018年8月29日,"28,345.00","28,285.00","28,474.00","28,190.00",139.16K,0.19%
2018年8月28日,"28,292.00","28,255.00","28,549.00","28,201.00",219.45K,0.14%
2018年8月27日,"28,252.00","27,594.00","28,273.00","27,520.00",210.85K,2.38%
2018年8月24日,"27,595.00","27,699.00","27,782.00","27,447.00",200.22K,-0.33%
2018年8月23日,"27,687.00","27,865.00","27,982.00","27,580.00",202.77K,-0.60%
2018年8月22日,"27,855.00","27,629.00","27,907.00","27,498.00",209.06K,0.83%
2018年8月21日,"27,627.00","27,519.00","27,700.00","27,432.00",187.50K,0.39%
2018年8月20日,"27,519.00","27,135.00","27,555.00","26,875.00",221.84K,1.41%
2018年8月17日,"27,136.00","27,063.00","27,332.00","27,005.00",183.08K,0.34%
2018年8月16日,"27,044.00","27,219.00","27,366.00","26,642.00",295.77K,-0.69%
2018年8月15日,"27,231.00","27,623.00","27,728.00","27,150.00",215.69K,-1.47%
2018年8月14日,"27,637.00","27,881.00","28,024.00","27,444.00",214.99K,-0.83%
2018年8月13日,"27,867.00","28,221.00","28,266.00","27,704.00",201.64K,-1.23%
2018年8月10日,"28,213.00","28,536.00","28,646.00","28,173.00",174.99K,-1.11%
2018年8月9日,"28,531.00","28,226.00","28,659.00","28,060.00",207.74K,1.05%
2018年8月8日,"28,234.00","28,218.00","28,374.00","28,142.00",187.09K,0.11%
2018年8月7日,"28,204.00","27,720.00","28,234.00","27,701.00",208.78K,1.72%
2018年8月6日,"27,728.00","27,609.00","28,016.00","27,609.00",217.63K,0.42%
2018年8月3日,"27,613.00","27,581.00","27,758.00","27,444.00",201.31K,0.03%
2018年8月2日,"27,605.00","28,284.00","28,334.00","27,500.00",245.58K,-2.44%
2018年8月1日,"28,295.00","28,450.00","28,828.00","28,163.00",214.39K,-0.49%
2018年7月31日,"28,433.00","28,679.00","28,793.00","28,423.00",173.58K,-0.74%
2018年7月30日,"28,644.00","28,715.00","28,837.00","28,582.00",29.41K,-0.30%
2018年7月27日,"28,729.00","28,745.00","28,836.00","28,587.00",170.08K,-0.05%
2018年7月26日,"28,743.00","28,912.00","29,113.00","28,616.00",239.32K,-0.57%
2018年7月25日,"28,909.00","28,645.00","28,973.00","28,645.00",216.58K,0.93%
2018年7月24日,"28,643.00","28,212.00","28,713.00","28,164.00",187.23K,1.54%
2018年7月23日,"28,209.00","28,238.00","28,382.00","28,019.00",223.83K,-0.05%
2018年7月20日,"28,224.00","28,026.00","28,299.00","27,732.00",251.67K,0.66%
2018年7月19日,"28,039.00","28,087.00","28,315.00","27,954.00",192.11K,-0.14%
2018年7月18日,"28,077.00","28,208.00","28,410.00","28,012.00",204.55K,-0.41%
2018年7月17日,"28,194.00","28,513.00","28,534.00","28,121.00",186.60K,-1.11%
2018年7月16日,"28,510.00","28,548.00","28,702.00","28,300.00",200.19K,-0.17%
2018年7月13日,"28,558.00","28,500.00","28,769.00","28,460.00",170.94K,0.25%
2018年7月12日,"28,487.00","28,295.00","28,632.00","28,162.00",203.61K,0.70%
2018年7月11日,"28,288.00","28,619.00","28,699.00","27,892.00",241.93K,-1.27%
2018年7月10日,"28,653.00","28,721.00","29,013.00","28,560.00",227.88K,-0.25%
2018年7月9日,"28,725.00","28,190.00","28,849.00","28,089.00",220.22K,1.79%
2018年7月6日,"28,220.00","28,193.00","28,493.00","27,820.00",305.85K,0.08%
2018年7月5日,"28,197.00","28,047.00","28,260.00","27,720.00",253.64K,0.54%
2018年7月4日,"28,046.00","28,335.00","28,487.00","27,928.00",240.71K,-0.96%
2018年7月3日,"28,317.00","28,713.00","28,755.00","27,775.00",305.87K,-1.42%
2018年6月29日,"28,726.00","28,254.00","28,765.00","28,118.00",228.14K,1.14%
2018年6月28日,"28,401.00","28,380.00","28,700.00","28,302.00",45.17K,0.10%
2018年6月27日,"28,372.00","28,952.00","29,047.00","28,275.00",231.06K,-1.98%
2018年6月26日,"28,945.00","28,977.00","29,033.00","28,476.00",324.74K,-0.03%
2018年6月25日,"28,953.00","29,341.00","29,453.00","28,864.00",266.57K,-1.30%
2018年6月22日,"29,335.00","29,265.00","29,427.00","29,007.00",262.12K,0.13%
2018年6月21日,"29,296.00","29,713.00","29,860.00","29,234.00",270.06K,-1.24%
2018年6月20日,"29,665.00","29,407.00","29,969.00","29,304.00",278.61K,1.00%
2018年6月19日,"29,371.00","30,260.00","30,295.00","29,267.00",269.26K,-2.93%
2018年6月15日,"30,259.00","30,431.00","30,576.00","30,220.00",199.77K,-0.50%
2018年6月14日,"30,412.00","30,750.00","30,824.00","30,270.00",212.27K,-1.08%
2018年6月13日,"30,743.00","31,040.00","31,045.00","30,637.00",167.08K,-0.96%
2018年6月12日,"31,042.00","31,043.00","31,237.00","30,873.00",191.08K,0.00%
2018年6月11日,"31,043.00","30,846.00","31,120.00","30,818.00",175.75K,0.66%
2018年6月8日,"30,840.00","31,510.00","31,513.00","30,798.00",201.30K,-2.20%
2018年6月7日,"31,535.00","31,223.00","31,544.00","31,154.00",182.87K,1.07%
2018年6月6日,"31,201.00","31,083.00","31,277.00","30,946.00",186.80K,0.44%
2018年6月5日,"31,063.00","30,908.00","31,163.00","30,812.00",191.28K,0.53%
2018年6月4日,"30,899.00","30,377.00","30,950.00","30,364.00",183.54K,1.66%
2018年6月1日,"30,395.00","30,495.00","30,495.00","30,239.00",208.27K,-0.33%
2018年5月31日,"30,497.00","29,871.00","30,513.00","29,847.00",208.07K,1.47%
2018年5月30日,"30,055.00","30,416.00","30,486.00","29,982.00",40.19K,-1.21%
2018年5月29日,"30,424.00","30,644.00","30,711.00","30,418.00",134.07K,-1.09%
2018年5月28日,"30,760.00","30,655.00","30,858.00","30,485.00",205.58K,0.38%
2018年5月25日,"30,644.00","30,701.00","30,762.00","30,376.00",242.84K,-0.18%
2018年5月24日,"30,699.00","30,551.00","30,768.00","30,485.00",210.12K,0.50%
2018年5月23日,"30,545.00","31,227.00","31,288.00","30,522.00",205.11K,-2.18%
2018年5月21日,"31,226.00","30,908.00","31,407.00","30,747.00",185.74K,1.07%
2018年5月18日,"30,896.00","30,862.00","31,077.00","30,782.00",185.58K,0.05%
2018年5月17日,"30,880.00","30,917.00","31,320.00","30,817.00",202.80K,-0.17%
2018年5月16日,"30,934.00","30,996.00","31,085.00","30,641.00",226.15K,-0.18%
2018年5月15日,"30,990.00","31,472.00","31,499.00","30,958.00",182.41K,-1.48%
2018年5月14日,"31,456.00","31,083.00","31,475.00","31,037.00",186.05K,1.16%
2018年5月11日,"31,094.00","30,680.00","31,143.00","30,626.00",210.60K,1.35%
2018年5月10日,"30,680.00","30,420.00","30,700.00","30,296.00",201.51K,0.86%
2018年5月9日,"30,418.00","30,197.00","30,420.00","30,022.00",226.97K,0.72%
2018年5月8日,"30,202.00","29,754.00","30,265.00","29,679.00",209.30K,1.50%
2018年5月7日,"29,757.00","29,759.00","30,046.00","29,575.00",252.23K,-0.08%
2018年5月4日,"29,780.00","30,076.00","30,169.00","29,644.00",268.16K,-0.92%
2018年5月3日,"30,056.00","30,567.00","30,589.00","29,901.00",239.02K,-1.63%
2018年5月2日,"30,555.00","30,674.00","30,696.00","30,392.00",202.71K,-0.36%
2018年4月30日,"30,665.00","30,042.00","30,724.00","30,017.00",153.44K,1.71%
2018年4月27日,"30,150.00","30,044.00","30,310.00","30,030.00",28.98K,0.38%
2018年4月26日,"30,037.00","30,185.00","30,455.00","29,837.00",219.81K,-0.47%
2018年4月25日,"30,179.00","30,642.00","30,782.00","30,179.00",291.45K,-1.49%
2018年4月24日,"30,637.00","30,238.00","30,700.00","30,165.00",276.68K,1.30%
2018年4月23日,"30,243.00","30,368.00","30,502.00","30,145.00",247.55K,-0.38%
2018年4月20日,"30,358.00","30,756.00","30,879.00","30,317.00",242.03K,-1.30%
2018年4月19日,"30,758.00","30,329.00","30,791.00","30,214.00",234.08K,1.47%
2018年4月18日,"30,313.00","30,060.00","30,509.00","29,955.00",254.19K,0.86%
2018年4月17日,"30,055.00","30,189.00","30,527.00","29,992.00",235.25K,-0.41%
2018年4月16日,"30,180.00","30,876.00","31,000.00","30,158.00",218.86K,-2.23%
2018年4月13日,"30,867.00","30,748.00","31,080.00","30,706.00",174.33K,0.33%
2018年4月12日,"30,767.00","30,897.00","31,151.00","30,605.00",213.28K,-0.40%
2018年4月11日,"30,891.00","30,743.00","31,000.00","30,624.00",187.28K,0.42%
2018年4月10日,"30,761.00","30,260.00","30,816.00","30,061.00",219.63K,1.58%
2018年4月9日,"30,283.00","29,848.00","30,580.00","29,752.00",219.31K,1.49%
2018年4月6日,"29,837.00","29,388.00","29,977.00","29,147.00",209.11K,1.47%
2018年4月4日,"29,405.00","30,136.00","30,315.00","29,343.00",225.25K,-2.48%
2018年4月3日,"30,152.00","30,060.00","30,318.00","29,750.00",194.48K,0.34%
2018年3月29日,"30,050.00","29,933.00","30,233.00","29,752.00",227.11K,-0.95%
2018年3月28日,"30,338.00","30,792.00","30,855.00","30,307.00",36.77K,-1.43%
2018年3月27日,"30,779.00","30,522.00","30,949.00","30,254.00",202.64K,0.81%
2018年3月26日,"30,532.00","30,120.00","30,577.00","29,938.00",266.17K,1.28%
2018年3月23日,"30,147.00","31,022.00","31,022.00","29,856.00",298.49K,-2.91%
2018年3月22日,"31,051.00","31,372.00","31,704.00","30,989.00",210.05K,-0.97%
2018年3月21日,"31,355.00","31,525.00","32,005.00","31,336.00",202.23K,-0.61%
2018年3月20日,"31,548.00","31,402.00","31,587.00","31,111.00",175.29K,0.49%
2018年3月19日,"31,393.00","31,467.00","31,677.00","31,209.00",144.72K,-0.18%
2018年3月16日,"31,450.00","31,560.00","31,654.00","31,268.00",156.30K,-0.27%
2018年3月15日,"31,535.00","31,461.00","31,620.00","31,051.00",175.99K,0.26%
2018年3月14日,"31,453.00","31,615.00","31,695.00","31,112.00",167.17K,-0.42%
2018年3月13日,"31,586.00","31,591.00","31,714.00","31,442.00",138.43K,-0.03%
2018年3月12日,"31,594.00","30,991.00","31,640.00","30,958.00",149.60K,1.93%
2018年3月9日,"30,996.00","30,671.00","31,044.00","30,620.00",143.31K,1.09%
2018年3月8日,"30,661.00","30,188.00","30,741.00","30,116.00",163.18K,1.52%
2018年3月7日,"30,201.00","30,460.00","30,658.00","30,060.00",211.73K,-0.93%
2018年3月6日,"30,485.00","29,954.00","30,595.00","29,834.00",178.30K,1.87%
2018年3月5日,"29,926.00","30,513.00","30,675.00","29,790.00",221.66K,-1.99%
2018年3月2日,"30,534.00","31,003.00","31,003.00","30,428.00",185.72K,-1.59%
2018年3月1日,"31,028.00","30,788.00","31,083.00","30,357.00",196.47K,0.96%
2018年2月28日,"30,732.00","31,388.00","31,435.00","30,662.00",179.40K,-2.30%
2018年2月27日,"31,457.00","31,520.00","31,775.00","31,447.00",30.21K,-0.18%
2018年2月26日,"31,514.00","31,170.00","31,552.00","31,133.00",149.07K,1.08%
2018年2月23日,"31,177.00","30,944.00","31,371.00","30,907.00",191.54K,0.73%
2018年2月22日,"30,950.00","31,339.00","31,518.00","30,887.00",166.15K,-1.33%
2018年2月21日,"31,367.00","30,747.00","31,392.00","30,607.00",130.76K,1.99%
2018年2月20日,"30,754.00","31,187.00","31,279.00","30,608.00",136.89K,-0.68%
2018年2月15日,"30,965.00","30,304.00","31,036.00","29,955.00",105.25K,2.19%
2018年2月14日,"30,301.00","29,700.00","30,585.00","29,517.00",155.13K,2.06%
2018年2月13日,"29,690.00","29,483.00","30,089.00","29,380.00",178.43K,0.91%
2018年2月12日,"29,422.00","29,332.00","29,709.00","29,000.00",180.69K,0.32%
2018年2月9日,"29,329.00","30,375.00","30,426.00","29,070.00",239.53K,-3.38%
2018年2月8日,"30,354.00","30,155.00","30,813.00","30,111.00",241.29K,0.53%
2018年2月7日,"30,194.00","30,773.00","31,377.00","30,067.00",310.29K,-1.70%
2018年2月6日,"30,715.00","32,066.00","32,204.00","30,487.00",322.51K,-4.11%
2018年2月5日,"32,033.00","32,498.00","32,498.00","31,635.00",237.89K,-1.46%
2018年2月2日,"32,508.00","32,641.00","32,743.00","32,268.00",221.74K,-0.43%
2018年2月1日,"32,647.00","32,844.00","32,991.00","32,567.00",200.01K,-0.60%
2018年1月31日,"32,844.00","32,664.00","32,929.00","32,293.00",249.51K,0.35%
2018年1月30日,"32,728.00","32,898.00","32,982.00","32,653.00",30.96K,-0.52%
2018年1月29日,"32,900.00","33,175.00","33,516.00","32,854.00",211.93K,-0.77%
2018年1月26日,"33,154.00","32,699.00","33,203.00","32,612.00",263.81K,1.45%
2018年1月25日,"32,680.00","32,903.00","33,096.00","32,620.00",269.15K,-0.66%
2018年1月24日,"32,897.00","32,906.00","32,998.00","32,728.00",209.90K,-0.04%
2018年1月23日,"32,911.00","32,346.00","32,930.00","32,332.00",219.32K,1.74%
2018年1月22日,"32,349.00","32,243.00","32,381.00","32,011.00",167.64K,0.35%
2018年1月19日,"32,235.00","32,075.00","32,248.00","31,983.00",159.00K,0.54%
2018年1月18日,"32,061.00","31,961.00","32,202.00","31,837.00",209.78K,0.33%
2018年1月17日,"31,955.00","31,910.00","32,015.00","31,673.00",196.76K,0.15%
2018年1月16日,"31,908.00","31,320.00","31,958.00","31,304.00",188.49K,1.88%
2018年1月15日,"31,320.00","31,417.00","31,721.00","31,278.00",181.67K,-0.28%
2018年1月12日,"31,407.00","31,093.00","31,409.00","31,072.00",141.71K,1.01%
2018年1月11日,"31,094.00","31,073.00","31,143.00","30,981.00",132.73K,0.07%
2018年1月10日,"31,072.00","30,997.00","31,300.00","30,944.00",166.53K,0.28%
2018年1月9日,"30,985.00","30,838.00","31,058.00","30,711.00",135.74K,0.48%
2018年1月8日,"30,836.00","30,771.00","30,950.00","30,732.00",131.33K,0.23%
2018年1月5日,"30,764.00","30,741.00","30,912.00","30,693.00",120.99K,0.05%
2018年1月4日,"30,748.00","30,616.00","30,795.00","30,591.00",132.47K,0.43%
2018年1月3日,"30,615.00","30,517.00","30,750.00","30,493.00",142.62K,0.27%
2018年1月2日,"30,532.00","29,955.00","30,566.00","29,941.00",122.83K,1.95%
2017年12月29日,"29,948.00","29,945.00","30,027.00","29,871.00",98.97K,0.57%
2017年12月28日,"29,778.00","29,663.00","29,791.00","29,592.00",17.26K,0.36%
2017年12月27日,"29,670.00","29,598.00","29,729.00","29,542.00",130.71K,0.21%
2017年12月22日,"29,607.00","29,380.00","29,617.00","29,327.00",199.68K,0.85%
2017年12月21日,"29,358.00","29,301.00","29,448.00","29,133.00",175.46K,0.19%
2017年12月20日,"29,301.00","29,266.00","29,339.00","29,090.00",122.25K,0.18%
2017年12月19日,"29,248.00","29,122.00","29,381.00","29,094.00",132.91K,0.41%
2017年12月18日,"29,128.00","28,802.00","29,158.00","28,721.00",156.87K,1.17%
2017年12月15日,"28,790.00","29,202.00","29,214.00","28,736.00",160.76K,-1.40%
2017年12月14日,"29,199.00","29,217.00","29,439.00","29,045.00",155.77K,-0.09%
2017年12月13日,"29,224.00","28,811.00","29,318.00","28,725.00",167.65K,1.48%
2017年12月12日,"28,799.00","28,915.00","29,048.00","28,739.00",153.66K,-0.37%
2017年12月11日,"28,906.00","28,627.00","28,981.00","28,587.00",142.84K,1.00%
2017年12月8日,"28,620.00","28,321.00","28,715.00","28,226.00",165.62K,1.09%
